Du lernst Spanisch. ,Tu înveţi spaniolă.,Tu î----- s-------.,In der Schule -  La şcoală 
Er lernt Deutsch. ,El învaţă germană.,El î----- g------.,In der Schule -  La şcoală 
Wir lernen Französisch. ,Noi învăţăm franceză.,No- î------ f-------.,In der Schule -  La şcoală 
Ihr lernt Italienisch. ,Voi învăţaţi italiană.,Vo- î------- i-------.,In der Schule -  La şcoală 
Sie lernen Russisch. ,Ei învaţă rusă.,Ei î----- r---.,In der Schule -  La şcoală 
Sprachen lernen ist interessant. ,Învăţarea limbilor este interesantă.,În------- l------- e--- i----------.,In der Schule -  La şcoală 
Wir wollen Menschen verstehen. ,Noi vrem să înţelegem oamenii.,No- v--- s- î-------- o------.,In der Schule -  La şcoală 
Wir wollen mit Menschen sprechen. , Noi vrem să vorbim cu oamenii.,No- v--- s- v----- c- o------.,In der Schule -  La şcoală 
John ist aus London.,John este din Londra.,Jo-- e--- d-- L-----.,Länder und Sprachen - Ţări şi limbi 
London liegt in Großbritannien. ,Londra este în Marea Britanie.,Lo---- e--- î- M---- B-------.,Länder und Sprachen - Ţări şi limbi 
Er spricht Englisch. ,El vorbeşte engleza., El v------- e------.,Länder und Sprachen - Ţări şi limbi 
Maria ist aus Madrid. ,Maria este din Madrid.,Ma--- e--- d-- M-----.,Länder und Sprachen - Ţări şi limbi 
Madrid liegt in Spanien.,Madrid este în Spania.,Ma---- e--- î- S-----.,Länder und Sprachen - Ţări şi limbi 
Sie spricht Spanisch. ,Ea vorbeşte spaniola.,Ea v------- s-------.,Länder und Sprachen - Ţări şi limbi 
Peter und Martha sind aus Berlin. ,Peter şi Martha sunt din Berlin.,Pe--- ş- M----- s--- d-- B-----.,Länder und Sprachen - Ţări şi limbi 
Sprecht ihr beide Deutsch? ,Amândoi vorbiţi germană?,Am----- v------ g------?,Länder und Sprachen - Ţări şi limbi 
London ist eine Hauptstadt. ,Londra este o capitală.,Lo---- e--- o c-------.,Länder und Sprachen - Ţări şi limbi 
Madrid und Berlin sind auch Hauptstädte. ,Madrid și Berlin sunt capitale de asemenea,M----- ş- B----- s--- c------- d- as-----,Länder und Sprachen - Ţări şi limbi 
Die Hauptstädte sind groß und laut. ,Capitalele sunt mari şi zgomotoase.,Ca-------- s--- m--- ş- z---------.,Länder und Sprachen - Ţări şi limbi 
Frankreich liegt in Europa. ,Franţa se află în Europa.,Fr---- s- a--- î- E-----.,Länder und Sprachen - Ţări şi limbi 
