versuchen,a încerca,încerc,încerci,încearcă,încercăm,încercați,încearcă,să încerce,încercat,încearcă!,I,,
vorbereiten,a pregăti,pregătesc,pregătești,pregătește,pregătim,pregătiți,pregătesc,,,,,,
warten,a aştepta,aştept,aştepţi,aşteaptă,aşteptăm,aşteptaţi,aşteaptă,să aştepte,aşteptat,aşteaptă!,I,,
wechseln,a schimba,schimb,schimbi,schimbă,schimbăm,schimbați,schimbă,,,,,,
wissen,a şti  ,ştiu  ,ştii  ,ştie  ,ştim  ,ştiţi  ,ştiu  ,să ştie  ,ştiut  ,ştii!  ,I,,
wohnen,a locui ,locuiesc ,locuişti ,locuişte ,locuim ,locuiţi ,locuiesc,să locuiască  ,locuit  ,locuişte! ,I,,
"wohnen, bleiben",a sta,stau,stai,stă,stăm,stați,stau,să stea,stat,stai!,I,,
wollen,a vrea ,vreau ,vrei ,vrea ,vrem ,vreţi ,vor ,să vrea ,vrut ,vrei! ,I,,
zeigen,a arăta,arăt,arăți,arată,arătăm,arătați,arată,,,,,,
zuhören,a asculta,ascult,asculți,ascultă,ascultăm,ascultați,ascultă,,,,,,
gehen,a umbla,umblu,umbli,umblă,umblăm,umblați,umblă,,,,,,
erklären,a explica,explic,explici,explică,explicăm,explicați,explică,,,,,,
rennen,a alerga,alerg,alergi,aleargă,alergăm,alergați,aleargă,,,,,,
bezahlen,a plăti,plătesc,plătești,plătește,plătim,plătiți,plătesc,,,,,,
aufwecken,a deștepta,,,,,,,,,,,,
"waschen, abwaschen",a spăla,spăl,speli,spală,spălăm,spălați,spală,,,,,,
lernen,a învăța,învăț,înveți,învață,învățăm,învățați,învață,,,,,,
schreien,a striga,strig,strigi,strigă,strigăm,strigați,strigă,,,,,,
"aussehen, zeigen",a arăta,arăt,arăți,arată,arătăm,arătați,arată,,,,,,
schneiden,a tăia,tai,tai,taie,tăiem,tăiați,taie,,,,,,
kaputtmachen,a strica,stric,strici,strică,stricăm,stricați,strică,,,,,,
rauchen,a fuma,fumez,fumezi,fumează,fumăm,fumați,fumează,,,,,,
träumen,a visa,visez,visezi,visează,visăm,visați,visează,,,,,,
sammeln,a aduna,adun,aduni,adună,adunăm,adunați,adună,,,,,,
überqueren,a traversa,traversez,traversezi,traversează,traversăm,traversați,traversează,,,,,,
ohnmächtig werden,a leșina,leșin,leșini,leșină,leșinăm,leșinați,leșină,,,,,,
"lösen, erledigen",a rezolva,rezolv,rezolvi,rezolvă,rezolvăm,rezolvați,rezolvă,,,,,,
tragen (Kleidung),a purta,port,porți,poartă,purtăm,purtați,poartă,,,,,,
"erscheinen, auftauchen",a apărea,apar,apari,apare,apărem,apăreți,apar,,,,,,
verschwinden,a dispărea,dispar,dispari,dispare,dispărem,dispăreți,dispar,,,,,,
"subtrahieren, abnehmen, schwindeln",a scădea,scad,scazi,scade,scădem,scădeți,scad,,,,,,
schließen,a închide,închid,închizi,închide,închidem,închideți,închid,,,,,,
antworten,a răspunde,răspund,răspunzi,răspunde,răspundem,răspundeți,răspund,,,,,,
"beinhalten, enthalten",a conține,conțin,conții,conține,conținem,conțineți,conțin,,,,,,
"bleiben, verharren",a rămâne,rămân,rămâi,rămâne,rămânem,rămâneți,rămân,,,,,,
"füllen, erfüllen",a umple,umplu,umpli,umple,umplem,umpleți,umplu,,,,,,
"vermuten, annehmen",a presupune,presupun,presupui,presupune,presupunem,presupuneți,presupun,,,,,,
springen,a sări,sar,sări,sare,sărim,săriți,sar,,,,,,
leiden,a suferi,sufăr,suferi,suferă,suferim,suferiți,suferă,,,,,,
ermüden,a obosi,obosesc,obosești,obosește,obosim,obosiți,obosesc,,,,,,
kochen,a găti,gătesc,gătești,gătește,gătim,gătiți,gătesc,,,,,,
finden,a găsi,găsesc,găsești,găsește,găsim,găsiți,găsesc,,,,,,
"scherzen, witzeln",a glumi,glumesc,glumești,glumește,glumim,glumiți,glumesc,,,,,,
"wollen, wünschen",a dori,doresc,dorești,dorește,dorim,doriți,doresc,,,,,,
erhitzen,a încinge,încing,încingi,încinge,încingem,încingeți,încing,,,,,,
kühlen,a răci,răcesc,răcești,răcește,răcim,răciți,răcesc,,,,,,
erhalten,a primi,primesc,primești,primește,primim,primiți,primesc,,,,,,
wohnen,a locui,locuiesc,locuiești,locuiește,locuim,locuiți,locuiesc,,,,,,
versprechen,a promite,promit,promiți,promite,promitem,promiteți,promit,,,,,,
verfolgen,a urmări,urmăresc,urmărești,urmărește,urmărim,urmăriți,urmăresc,,,,,,
"raten, empfehlen",a sfătui,sfătuiesc,sfătuiești,sfătuiește,sfătuim,sfătuiți,sfătuiesc,,,,,,
betrügen,a înșela,înșel,înșeli,înșală,înșelăm,înșelați,înșală,,,,,,
"loben, preisen",a lăuda,laud,lauzi,laudă,lăudăm,lăudați,laudă,,,,,,
beschuldigen,a acuza,acuz,acuzi,acuză,acuzăm,acuzați,acuză,,,,,,
vergessen,a uita,uit,uiți,uită,uităm,uitați,uită,,,,,,
beschimpfen,a certa,cert,certi,ceartă,certăm,certați,ceartă,,,,,,
"verzeihen, vergeben",a ierta,iert,ierți,iartă,iertăm,iertați,iartă,,,,,,
verraten,a trăda,trădez,trădezi,trădează,trădăm,trădați,trădează,,,,,a trimite un e-mail,eine E-Mail senden
"schicken, senden",a trimite,trimit,trimiți,trimite,trimitem,trimiteți,trimit,,,,,,
"abnehmen, abziehen, abfallen, senken",a scadea,scad,scazi,scade,scădem,scădeți,scad,,,,,,
"öffnen, aufmachen",a deschide,deschid,deschizi,deschide,deschidem,deschideți,deschid,,,,,,
"leiten, betreuen",a ghida, ghidez, ghidezi, ghidează, ghidăm, ghidați, ghidează,,,,,,
"abreisen, verlassen, abfahren, fortgehen",a pleca,plec, pleci, pleacă, plecăm, plecați, pleacă,,,,,,
"besteigen, erklimmen",a urca,urc, urci, urcă, urcăm, urcați, urcă,,,,,,
"verzögern, verschieben",a întârzia,întârzii,întârzii,întârzie,întârziem,întârziaţi,întârzie,,,,,,
parken,a gara,garez,garezi,garează,garăm,garaţi,garează,,,,,,
"anhalten, ausschalten",a opri, opresc, oprești, oprește, oprim, opriți, opresc,,,,,,
"navigieren, steuern, segeln",a naviga,navighez,navighezi,navighează,navigăm,navigaţi,navighează,,,,,,
"entnehmen, extrahieren",a extrage, extrag, extragi, extrage, extragem, extrageți, extrag,,,,,,
"züchten, anbauen",a cultiva,cultiv,cultivi,cultivă,cultivăm,cultivaţi,cultivă,,,,,,
"bearbeiten, revidieren, prüfen",a revizui,revizuiesc,revizuiești,revizuiește,revizuim,revizuiţi,revizuiesc,,,,,,
"bestehen (Prüfung), verhenen (Zeit)",a trece,trec, treci, trece, trecem, treceți, trec,,,,,,
"ausfallen, fallen (Regen/ auf einen Tag), durchfallen (Prüfung)",a pica,pic, pici, pică, picăm, picați, pică,,,,,,
schneien,a ninge,,,,,,,,,,,,
"angeln, fischen",a pescui,,,,,,,,,,,,
"schlagen, treffen, hauen",a lovi,,,,,,,,,,,,
"investieren, anlegen",a investi,,,,,,,,,,,,
Jahrestag feiern,a aniversa,,,,,,,,,,,,
feiern,a sărbători,,,,,,,,,,,,
fasten,a posti,,,,,,,,,,,,
schminken,a machia,,,,,,,,,,,,
rasieren,a bărbieri,,,,,,,,,,,,
