Adler,vultur,vulturi,,,,m,un,doi,Duolingo
"leicht, einfach",ușor,,,,,adj,,,Duolingo
stark,puternic,,,,,adj,,,Duolingo
groß (Höhe),înalt,,,,,adj,,,Duolingo
klein (Größe),scund,,,,,adj,,,Duolingo
Pferd,cal,cai,,,,m,un,doi,Duolingo
reich,bogat,,,,,adj,,,Duolingo
"schön, hübsch",frumos,,,,,adj,,,Duolingo
billig,ieftin,,,,,adj,,,Duolingo
hässlich,urât,,,,,adj,,,Duolingo
Eule,bufniță,bufnițe,,,,f,o,două,Duolingo
frisch,proaspăt,,,,,adj,,,Duolingo
"reif (Obst), gebacken",copt,,,,,adj,,,Duolingo
leer,gol,goale,,,,adj,,,Duolingo
gekocht,fiert,fierte,,,,adj,,,Duolingo
nackt,gol,goale,,,,adj,,,Duolingo
Ente,rață,rațe,,,,f,o,două,Duolingo
Pflaume,prună,prune,,,,f,o,două,Duolingo
sauber,curat,curate,,,,adj,,,Duolingo
dreckig,murdar,murdare,,,,adj,,,Duolingo
schlecht,rău,rele,,,,adj,,,Duolingo
nass,ud,ude,,,,adj,,,Duolingo
Tag,zi,zile,,,,f,o,două,Duolingo
Bier,bere,beri,,,,f,o,două,Duolingo
Kühlschrank,frigider,frigidere,,,,n,un,două,Duolingo
attraktiv,atrăgător,atrăgătoare,,,,adj,,,Duolingo
kalt,rece,reci,,,,adj,,,Duolingo
alt (Geräte),vechi,vechi,,,,adj,,,Duolingo
hart,tare,tari,,,,adj,,,Duolingo
scharf (gwürzt),iute,iuți,,,,adj,,,Duolingo
anständig,cumsecade,cumsecade,,,,adj,,,Duolingo
Fledermaus,liliac,lilieci,,,,m,un,doi,Duolingo
Ochse,bou,boi,,,,m,un,doi,Duolingo
groß,mare,mari,,,,adj,,,Duolingo
Nacht,noapte,nopți,,,,f,o,două,Duolingo
schwierig,greu,grei/ grele,,,,adj,,,Duolingo
neu,nou,noi,,,,adj,,,Duolingo
warm,cald,calzi/calde,,,,adj,,,Duolingo
zusammen,împreuna,împreunând,,,,adj,,,Duolingo
Schildkröte,broască-țestoasă,broaște-țestoase,,,,f,o,două,Duolingo
Frosch,broască,broaște,,,,f,o,două,Duolingo
Schloss (Tür),broască,broaște,,,,f,o,două,Duolingo
böse/ schlecht,rău,răi/rele,,,,adj,,,Duolingo
Fluss,râu,râuri,,,,n,un,două,Duolingo
teuer,scump,scumpi/scumpe,,,,adj,,,Duolingo
Haustier,animal de companie,animale de companie,,,,n,un,două,Duolingo
Serviette,șervețel,șervețele,,,,n,un,două,Duolingo
Taschentuch,batistă de hârtie,batiste,,,,f,o,două,Duolingo
Messer,cuțit,cuțite,,,,n,un,două,Duolingo
Löffel,lingură,linguri,,,,f,o,două,Duolingo
Meter,metru,metri,,,,m,un,doi,Duolingo
"Mitte, Hälfte",jumătate,jumătăți,,,,f,o,două,Duolingo
"einige, manche",câteva,,,,,adj,,,Duolingo
wenig,puțin,,,,,adj,,,Duolingo
"Menge, Stückzahl",cantitate,cantități,,,,f,o,două,Duolingo
Jahr,an,ani,,,,m,un,doi,Duolingo
"klug, schlau",deștept,,,,,adj,,,Duolingo
Rock,fustă,fuste,,Die Röcke gehören mir nicht,Nu sunt fustele mele,f,o,două,Duolingo
"Mantel, Jacke",palton,paltoane,,,,n,un,două,Duolingo
Hemd,cămașă,cămăși,,,,f,o,două,Duolingo
Schuh,pantof,pantofi,,,,m,un,doi,Duolingo
Kleid,rochie,rochii,,,,f,o,două,Duolingo
Hose,pantalon,pantaloni,,Die dreckigen Hosen gehören mir,Pantalonii murdari sunt ai mei,m,un,doi,Duolingo
Anzug,costum,costume,,,,n,un,două,Duolingo
Hut,pălărie,pălării,,,,f,o,două,Duolingo
Krawatte,cravată,cravate,,,,f,o,două,Duolingo
Handschuh,mănușă,mănuși,,,,f,o,două,Duolingo
Gürtel,curea,curele,,,,f,o,două,Duolingo
Kleidung,îmbrăcăminte,îmbrăcăminte,,,,f,o,două,Duolingo
jung,tânăr,,,,,adj,,,Duolingo
"kaputt, defekt, verdorben",stricat,,,,,adj,,,Duolingo
mehr,mai,,,,,adj,,,Duolingo
als,decât,,,,,pron,,,Duolingo
"einige, etliche",unele,,,,,pron,,,Duolingo
sehr,foarte,,,sehr gut,foarte bine,adv,,,Duolingo
Tasse,ceașcă,cești,,,,f,o,două,Duolingo
stolz,mândru,,,,,adj,,,Duolingo
trocken,uscat,,,,,adj,,,Duolingo
rot,roșu,,,,,adj,,,Duolingo
grün,verde,,,,,adj,,,Duolingo
gelb,galben,,,,,adj,,,Duolingo
schwarz,negru,,,,,adj,,,Duolingo
weiß,alb,,,,,adj,,,Duolingo
sauer,acru,,,,,adj,,,Duolingo
rosa,roz,,,,,adj,,,Duolingo
lila,mov,,,,,adj,,,Duolingo
grau,gri,,,,,adj,,,Duolingo
"charmant, reizend",fermecător,,,,,adj,,,Duolingo
effizient,eficace,,,,,adj,,,Duolingo
weich,moale,,,,,adj,,,Duolingo
dünn,subțire,,,,,adj,,,Duolingo
Klamotten,haine,,,,,pl,,,Duolingo
Ehemann,soț,soți,,,,m,un,doi,Duolingo
Eltern,părinți,părinți,,,,pl,,,Duolingo
Ehefrau,soție,soții,,,,f,o,două,Duolingo
Schwager,cumnat,cumnați,,,,m,un,doi,Duolingo
Cousin,verișor,verișori,,,,m,un,doi,Duolingo
Schwägerin,cumnată,cumnate,,,,f,o,două,Duolingo
"Enkelin, Nichte",nepoată,nepoate,,,,f,o,două,Duolingo
Verwandtschaft,rudenie,rudenii,,,,f,o,două,Duolingo
übermorgen,poimâine,,,,,adv,,,Duolingo
heute,astăzi,,,,,adv,,,Duolingo
heute Abend,deseară,,,,,adv,,,Duolingo
vorgestern,alaltăieri,,,,,adv,,,Duolingo
gestern,ieri,,,,,adv,,,Duolingo
morgen,mâine,,,,,adv,,,Duolingo
"nach, hinter",după,,,,,prep,,,Duolingo
"Zeit, Wetter",timp,timpuri,,,,n,un,două,Duolingo
Schwiegereltern,socri,socri,,,,pl,,,Duolingo
Schwiegersohn,ginere,gineri,,,,m,un,doi,Duolingo
Schwiegermutter,soacră,soacre,,,,f,o,două,Duolingo
Schwiegertochter,noră,nurori,,,,f,o,două,Duolingo
Vorname,prenume,prenume,,,,n,un,două,Duolingo
Winter,iarnă,ierni,,,,f,o,două,Duolingo
Frühling,primăvară,primăveri,,,,f,o,două,Duolingo
Sommer,vară,veri,,,,f,o,două,Duolingo
Jahreszeit,anotimp,anotimpuri,,,,n,un,două,Duolingo
Herbst,toamnă,toamne,,,,f,o,două,Duolingo
Minute,minut,minute,,,,n,un,două,Duolingo
Sekunde,secundă,secunde,,,,f,o,două,Duolingo
Jahrhundert,secol,secole,,,,n,un,două,Duolingo
"Jahrzehnt, Dekade",deceniu,decenii,,,,n,un,două,Duolingo
Viertel,sfert,sferturi,,viertel sechs,cinci și un sfert,n,un,două,Duolingo
Geburt,naștere,nașteri,,,,f,o,două,Duolingo
Arbeitsplatz,serviciu,servicii,,,,n,un,două,Duolingo
Beruf,profesie,profesii,,,,f,o,două,Duolingo
Arbeit,muncă,munci,,,,f,o,două,Duolingo
"Stelle, Anstellung",slujbă,slujbe,,,,f,o,două,Duolingo
bitte,te rog/ vă rog,,,,,,,,
danke,mulțumesc/mersi,,,,,,,,
"ja, bitte","Da, vă rugăm!",,,,,,,,
"gern geschehen, nichts zu danken",cu plăcere,,,,,,,,
Have a nice day,o zi bună,,,,,,,,
Guten Tag,bună ziua,,,,,,,,
Guten Morgen,bună dimineața,,,,,,,,
Guten Abend,bună seara,,,,,,,,
Gute Nacht,noapte bună,,,,,,,,
Auf wiedersehen,la revedere,,,,,,,,
Hi,Salut / Bună / Ciao / Servus,,,,,,,,
Bye,Pa / Salut / Ciao,,,,,,,,
Bye Bye,pa pa,,,,,,,,
Willkommen,bun venit,,,,,,,,
entschuldigung,scuze / pardon,,,,,,,,
bis bald,pe curând,,,,,,,,
Sprache,limba,limbi,,,,f,o,două,
rumänisch,română,,,,,,,,
englisch,engleză,,,,,,,,
Monat,lună,luni,,,,f,o,două,Duolingo
Wissenschaftler,savant,savanți,,,,m,un,doi,Duolingo
Lehrer,învățător,învățători,,,,m,un,doi,Duolingo
Forscher,cercetător,cercetători,,,,m,un,doi,Duolingo
Schüler,elev,elevi,,,,m,un,doi,Duolingo
Präsident,președinte,președinți,,,,m,un,doi,Duolingo
"Mitarbeiter, Angestellter",angajat,angajați,,,,m,un,doi,Duolingo
"Chef, Boss",șef,șefi,,,,m,un,doi,Duolingo
Politiker,politician,politicieni,,,,m,un,doi,Duolingo
Richter,judecător,judecători,,,,m,un,doi,Duolingo
Polizist,polițist,polițiști,,,,m,un,doi,Duolingo
Priester,preot,preoți,,,,m,un,doi,Duolingo
Postbote,poștaș,poștași,,,,m,un,doi,Duolingo
Feuerwehrmann,pompier,pompieri,,,,m,un,doi,Duolingo
"Wachmann, Hüter",gardian,gardieni ,,,,m,un,doi,Duolingo
Rechtsanwalt,avocat,avocați ,,,,m,un,doi,Duolingo
Chemiker,chimist,chimiști,,,,m,un,doi,Duolingo
Chemikerin,chimistă,chimiste,,,,f,o,două,Duolingo
Archäologe,arheolog,arheologi,,,,m,un,doi,Duolingo
Apotheker,farmacist,farmaciști,,,,m,un,doi,Duolingo
"Sanitäter, Krankenpfleger",infirmier,infirmieri,,,,m,un,doi,Duolingo
Buchhalter,contabil,contabili,,,,m,un,doi,Duolingo
Maurer,zidar,zidari,,,,m,un,doi,Duolingo
Elektriker,electrician,electricieni,,,,m,un,doi,Duolingo
Gärtner,grădinar,grădinari,,,,m,un,doi,Duolingo
Koch,bucătar,bucătari,,,,m,un,doi,Duolingo
Kellner,chelner,chelneri,,,,m,un,doi,Duolingo
Metzger,măcelar,măcelari,,,,m,un,doi,Duolingo
Bäcker,brutar,brutari,,,,m,un,doi,Duolingo
Friseur,frizer,frizeri,,,,m,un,doi,Duolingo
"Kissen, Kopfkissen",pernă,perne,,,,f,o,două,Duolingo
Mensch,om,oameni,,,,m,un,doi,Duolingo
Kalender,calendar,calendare,,,,n,un,două,Duolingo
diese,acestea,,,,,pron,,,Duolingo
Schulranzen,ghiozdan,ghiozdane,,,,n,un,două,Duolingo
"Stück, Teil",piesă,piese,,,,f,o,două,Duolingo
Einmachglas,borcan,borcane,,,,n,un,două,Duolingo
